gege be ,	nv::nv cm::acc mark::comma
hai_si dolin_wei i du_jy_hūi_ši madangga i jui mudaode ,	nn::prpn nn::prpn cm::gen nv::nv nv::adj cm::gen nv::nv nn::prpn.person mark::comma
uttu emu niyalma be takūra ci ,	nv::nv nv::nv nv::nv cm::acc verb::vv e::cve mark::comma
beikuwen de etu ci o mbi o ,	nv::adj cm::dat verb::vv e::cve verb::vv e::fve.npst ptcl mark::comma
anagan i ninggun biya i juwan uyun de gebu bu he .	nv::nv cm::gen nv::nv nv::nv cm::gen nv::nv nv::nv cm::dat nv::nv verb::vv e::pst.ptcp mark::period
tere be uthai tukiye fi hergen bu re amba obu ci ,	nv::nv cm::acc nv::nv verb::vv e::cve nv::nv verb::vv e::npst.ptcp nv::adj verb::vv e::cve mark::comma
○ da_cing_pu i iogi lang_ši_dzai ,	mark::circle nn::prpn cm::gen nv::nv nn::prpn mark::comma
han be ama ara fi ,	nv::nv cm::acc nv::nv verb::vv e::cve mark::comma
wei_ning_ing ni hecen i šurde me juwan tofohon ba i jeku bisi re niyalma be hecen de dosimbu fi weri ∅ .	nn::prpn cm::gen nv::nv cm::gen verb::vv e::cve nv::nv nv::nv nv::nv cm::gen nv::nv verb::vv e::npst.ptcp nv::nv cm::acc nv::nv cm::dat verb::vv e::cve verb::vv e::fve.imperative mark::period
tuttu donji ha ba de ,	nv::nv verb::vv e::pst.ptcp nv::nv cm::dat mark::comma
wa ra be naka fi ,	verb::vv e::npst.ptcp cm::acc verb::vv e::cve mark::comma
afabu ha weile be mute mbi ,	verb::vv e::pst.ptcp nv::nv cm::acc verb::vv e::fve.npst mark::comma
beile se i boigon ara fi weri he ,	nv::nv nv::nv cm::gen nv::nv verb::vv e::cve verb::vv e::pst.ptcp mark::comma
emu ciyandzung de duin niyalma ,	nv::nv nv::nv cm::dat nv::nv nv::nv mark::comma
han hendu me ,	nv::nv verb::vv e::cve mark::comma
da ci hafan seme ,	nv::nv cm::abl nv::nv comp mark::comma
holdon tuwa dulebu he be ,	nv::nv nv::nv verb::vv e::pst.ptcp cm::acc mark::comma
bi gūni ci ,	pn::1sg verb::vv e::cve mark::comma
monggo i emu niyalma wabu habi ,	nv::nv cm::gen nv::nv nv::nv verb::vv e::fve.prs.prf mark::comma
han ,	nv::nv mark::comma
ice jakūn de wasimbu ha ,	nv::adj nv::nv cm::dat verb::vv e::pst.ptcp mark::comma
šorhoi be ,	nn::prpn.person cm::acc mark::comma
neigen bene me uhe je mbi kai ,	nv::adj verb::vv e::cve nv::nv verb::vv e::fve.npst ptcl mark::comma
nomin ,	nv::nv mark::comma
ginjeo de jušen kamci hakūbi kai ,	nn::prpn.plc cm::dat nv::nv verb::vv e::fve.prs.prf.neg ptcl mark::comma
ineku tere aniya geli gemu amasi deo beile de dasa me bu he ,	nv::nv nv::nv nv::nv nv::nv nv::nv nv::nv nv::nv nv::nv cm::dat verb::vv e::cve verb::vv e::pst.ptcp mark::comma
buce he seme ekiyende rakū seme ertu fi ji he cooha be ,	verb::vv e::pst.ptcp comp verb::vv e::npst.ptcp.neg comp verb::vv e::cve verb::vv e::pst.ptcp nv::nv cm::acc mark::comma
○ buyantu be ,	mark::circle nn::prpn.person cm::acc mark::comma
boo i uji he uji me ,	nv::nv cm::gen verb::vv e::pst.ptcp verb::vv e::cve mark::comma
fengse ,	nv::nv mark::comma
han ji fi geli afa me gai mbi kai ,	nv::nv verb::vv e::cve nv::nv verb::vv e::cve verb::vv e::fve.npst ptcl mark::comma
indahūn erin de hecen de dosi ka .	nv::nv nv::nv cm::dat nv::nv cm::dat verb::vv e::pst.ptcp mark::period
cooha be kadala me ete mbi seme ,	nv::nv cm::acc verb::vv e::cve verb::vv e::fve.npst comp mark::comma
lung_king ni sunjaci aniya jakūn biya i orin sunja de baha ha ,	nn::prpn cm::gen nv::nv nv::nv nv::nv nv::nv cm::gen nv::nv nv::nv cm::dat verb::vv e::pst.ptcp mark::comma
tere jui cira be tuwa ha de bi ebu re seme hendu he manggi ,	nv::nv nv::nv nv::nv cm::acc verb::vv e::pst.ptcp cm::dat pn::1sg verb::vv e::npst.ptcp comp verb::vv e::pst.ptcp nv::nv mark::comma
○ amba_efu gene fi dali ha io_tun_wei hecen i dorgi ,	mark::circle nn::prpn verb::vv e::cve verb::vv e::pst.ptcp nn::prpn nv::nv cm::gen nv::nv mark::comma
wang_guwan_cing ,	nn::prpn mark::comma
juwete tanggū orita boso ,	nv::nv nv::nv nv::nv nv::nv mark::comma
han i tukiye fi gosi me uji re baili be gūni me ,	nv::nv cm::gen verb::vv e::cve verb::vv e::cve verb::vv e::npst.ptcp nv::nv cm::acc verb::vv e::cve mark::comma
sain be sain ,	nv::adj cm::acc nv::adj mark::comma
○ orin emu de ,	mark::circle nv::nv nv::nv cm::dat mark::comma
gemu emu han i irgen kai ,	nv::nv nv::nv nv::nv cm::gen nv::nv ptcl mark::comma
min i deo juwe feye baha ha ,	pn::1sg cm::gen nv::nv nv::nv nv::nv verb::vv e::pst.ptcp mark::comma
sin i ehe niyalma i ciha obu mbi o ,	pn::2sg cm::gen nv::adj nv::nv cm::gen nv::nv verb::vv e::fve.npst ptcl mark::comma
lung_king ni sunjaci aniya de baha ha ,	nn::prpn cm::gen nv::nv nv::nv cm::dat verb::vv e::pst.ptcp mark::comma
monggo baksi jakūn sinda ∅ ,	nv::nv nv::nv nv::nv verb::vv e::fve.imperative mark::comma
fei_šusai gercile he ,	nn::prpn verb::vv e::pst.ptcp mark::comma
te emu minggan cooha be darhan_hiya gai fi nene me gene ∅ ,	nv::nv nv::nv nv::nv nv::nv cm::acc nn::prpn verb::vv e::cve verb::vv e::cve verb::vv e::fve.imperative mark::comma
tere juwe jušen be soktobu fi wa fi ,	nv::nv nv::nv nv::nv cm::acc verb::vv e::cve verb::vv e::cve mark::comma
te re boo ,	verb::vv e::npst.ptcp nv::nv mark::comma
dumduri ,	nn::prpn.person mark::comma
suwen i beri musen ili ha ehe ,	pn::2pl cm::gen nv::nv nv::nv verb::vv e::pst.ptcp nv::adj mark::comma
ama bi urgunje mbi kai ,	nv::nv pn::1sg verb::vv e::fve.npst ptcl mark::comma
fu_jeo ,	nn::prpn mark::comma
te re boo ,	verb::vv e::npst.ptcp nv::nv mark::comma
baising niru i saintu i nadan ihan be daihal_tabunang ,	nv::nv nv::nv cm::gen nv::nv cm::gen nv::nv nv::nv cm::acc nn::prpn mark::comma
tongki fuka sinda ha hergen i dangse .	nv::nv nv::nv verb::vv e::pst.ptcp nv::nv cm::gen nv::nv mark::period
○ donggo_efu i gūsa de ,	mark::circle nn::prpn cm::gen nv::nv cm::dat mark::comma
seke i dahū ilan ,	nv::nv cm::gen nv::nv nv::nv mark::comma
nikan cooha i ili ha alin i dergi amba ninggu be gai fi fusihūn gida ki seme gene re de ,	nv::nv nv::nv cm::gen verb::vv e::pst.ptcp nv::nv cm::gen nv::nv nv::adj nv::nv cm::acc verb::vv e::cve nv::adj verb::vv e::fve.opt comp verb::vv e::npst.ptcp cm::dat mark::comma
doro be kice me dasa mbi ,	nv::nv cm::acc verb::vv e::cve verb::vv e::fve.npst mark::comma
emu jalan i sunjata amban be ,	nv::nv nv::nv cm::gen nv::nv nv::nv cm::acc mark::comma
liyoodung be baha ha manggi ,	nn::prpn.plc cm::acc verb::vv e::pst.ptcp nv::nv mark::comma
ehe sain be dere bani rakū ,	nv::adj nv::adj cm::acc nv::nv verb::vv e::npst.ptcp.neg mark::comma
han i tacibu ha tondo fafun be jurce rakū banji ci ,	nv::nv cm::gen verb::vv e::pst.ptcp nv::adj nv::nv cm::acc verb::vv e::npst.ptcp.neg verb::vv e::cve mark::comma
nikan gurun i suila ra ngge tere inu ,	nv::nv nv::nv cm::gen verb::vv e::npst.ptcp nmlz::nmlz nv::nv nv::nv mark::comma
in i jui de hendu me ,	pn::3sg cm::gen nv::nv cm::dat verb::vv e::cve mark::comma
seke i mahala ,	nv::nv cm::gen nv::nv mark::comma
in i beye i sunja tanggū nikan baha ha seme jabuhai de nikan bu hekū ,	pn::3sg cm::gen nv::nv cm::gen nv::nv nv::nv nv::nv verb::vv e::pst.ptcp comp nn::prpn.person cm::dat nv::nv verb::vv e::pst.ptcp.neg mark::comma
han i pai be gai fi ,	nv::nv cm::gen nv::nv cm::acc verb::vv e::cve mark::comma
šanaha i dorgi nikan be daila cina ,	nn::prpn.plc cm::gen nv::nv nv::nv cm::acc verb::vv e::fve.opt mark::comma
morin de jeku be ume ulebu re ,	nv::nv cm::dat nv::nv cm::acc nv::nv verb::vv e::npst.ptcp mark::comma
tung_fuma de emu morin ,	nn::prpn cm::dat nv::nv nv::nv mark::comma
amban sa ,	nv::nv nv::nv mark::comma
an_šan i han i tokso i nikan ,	nn::prpn cm::gen nv::nv cm::gen nv::nv cm::gen nv::nv mark::comma
○ nadan biya i ice nadan de ,	mark::circle nv::nv nv::nv cm::gen nv::adj nv::nv cm::dat mark::comma
muse i gurun i dolo aika ulin gai ha ,	nv::nv cm::gen nv::nv cm::gen nv::nv nv::nv nv::nv verb::vv e::pst.ptcp mark::comma
fujiyang de ilata minggan haha bu he ,	nv::nv cm::dat nv::nv nv::nv nv::nv verb::vv e::pst.ptcp mark::comma
han i beye cooha yabu ci ,	nv::nv cm::gen nv::nv nv::nv verb::vv e::cve mark::comma
jase tulergi encu gurun i weile de daha ∅ be ,	nv::nv nv::nv nv::nv nv::nv cm::gen nv::nv cm::dat verb::vv e::fve.imperative cm::acc mark::comma
abka beikuwere fi ,	nv::nv verb::vv e::cve mark::comma
iogi sin i beye hecen ci juwan ba i dube de isi tala gene fi tuwa me dube lashala fi unggi ∅ .	nv::nv pn::2sg cm::gen nv::nv nv::nv cm::abl nv::nv nv::nv cm::gen nv::nv cm::dat verb::vv e::cve verb::vv e::cve verb::vv e::cve nv::nv verb::vv e::cve verb::vv e::fve.imperative mark::period
jafu bithe ali me gaija ra ,	nv::nv nv::nv verb::vv e::cve verb::vv e::npst.ptcp mark::comma
muse be gosi ha ba de ,	pn::1pl.incl cm::acc verb::vv e::pst.ptcp nv::nv cm::dat mark::comma
juwe jergi buce re weile be guwebu mbi ,	nv::nv nv::nv verb::vv e::npst.ptcp nv::nv cm::acc verb::vv e::fve.npst mark::comma
jakūta de emu feye ,	nv::nv cm::dat nv::nv nv::nv mark::comma
moobari ,	nn::prpn.person mark::comma
darhan_hiya i alin i ninggu i boo de bene he ulin be gana ∅ seme takūra ha niyalma ,	nn::prpn cm::gen nv::nv cm::gen nv::nv cm::gen nv::nv cm::dat verb::vv e::pst.ptcp nv::nv cm::acc verb::vv e::fve.imperative comp verb::vv e::pst.ptcp nv::nv mark::comma
anu de emte gecuheri etuku ,	nn::prpn.person cm::dat nv::nv nv::nv nv::nv mark::comma
nangnuk ,	nn::prpn.person mark::comma
suwe han i uji he baili be gūni me ,	pn::2pl nv::nv cm::gen verb::vv e::pst.ptcp nv::nv cm::acc verb::vv e::cve mark::comma
daha rakū ci ,	verb::vv e::npst.ptcp.neg e::cve mark::comma
banji ha ba ,	verb::vv e::pst.ptcp nv::nv mark::comma
ihan ,	nv::nv mark::comma
han i bithe ,	nv::nv cm::gen nv::nv mark::comma
julesi gene re o ,	nv::nv verb::vv e::npst.ptcp ptcl mark::comma
jui jafa fi bu mbi o seme hendu re jaka de ,	nv::nv verb::vv e::cve verb::vv e::fve.npst ptcl comp verb::vv e::npst.ptcp nv::nv cm::dat mark::comma
boo yada me jobo mbi ayoo ,	nv::nv verb::vv e::cve verb::vv e::fve.npst nv::nv mark::comma
dumei min be wa kini ,	nn::prpn.person pn::1sg cm::acc verb::vv e::fve.opt mark::comma
juwan emu de wasimbu ha ,	nv::nv nv::nv cm::dat verb::vv e::pst.ptcp mark::comma
han de waka sabu fi weile baha fi boo yada kini ,	nv::nv cm::dat nv::adj verb::vv e::cve nv::nv verb::vv e::cve nv::nv verb::vv e::fve.opt mark::comma
sanggarjai ,	nn::prpn.person mark::comma
emungge bi tondo i kice me akūmbu ki ,	nn::prpn.person pn::1sg nv::adj cm::gen verb::vv e::cve verb::vv e::fve.opt mark::comma
te fi yabu re emte kiyoo ,	verb::vv e::cve verb::vv e::npst.ptcp nv::nv nv::nv mark::comma
giya_jing ni dehi sunjaci aniya nadan biya i orin emu de baha ha .	nn::prpn cm::gen nv::nv nv::nv nv::nv nv::nv nv::nv cm::gen nv::nv nv::nv cm::dat verb::vv e::pst.ptcp mark::period
geren be guile fi geren i juleri kūwatar seme hefeliyene re o ci mujangga ,	nv::adj cm::acc verb::vv e::cve nv::adj cm::gen nv::nv nv::nv comp verb::vv e::npst.ptcp verb::vv e::cve nv::adj mark::comma
lung_king ni ilaci aniya duin biya i orin sunja de baha ha ,	nn::prpn cm::gen nv::nv nv::nv nv::nv nv::nv cm::gen nv::nv nv::nv cm::dat verb::vv e::pst.ptcp mark::comma
muse ehe gisun karu hendu fi unggi ki seme hendu fi tebu he .	pn::1pl.incl nv::adj nv::nv nv::nv verb::vv e::cve verb::vv e::fve.opt comp verb::vv e::cve verb::vv e::pst.ptcp mark::period
folo ho jebele de beri niru sisi hai emte ,	verb::vv e::pst.ptcp nv::nv cm::dat nv::nv nv::nv verb::vv e::cve nv::nv mark::comma
ku i jeku be eje me gaija ra ,	nv::nv cm::gen nv::nv cm::acc verb::vv e::cve verb::vv e::npst.ptcp mark::comma
sunjata morin ,	nv::nv nv::nv mark::comma
emu tanggū cooha be gai fi ,	nv::nv nv::nv nv::nv cm::acc verb::vv e::cve mark::comma
han i gisun be baha fi ,	nv::nv cm::gen nv::nv cm::acc verb::vv e::cve mark::comma
yengge de sunja niru ,	nv::nv cm::dat nv::nv nv::nv mark::comma
boo de bisi re ulgiyan be wacihiya me wece fi ,	nv::nv cm::dat verb::vv e::npst.ptcp nv::nv cm::acc verb::vv e::cve verb::vv e::cve mark::comma
han i gosi ha be gūni me hing se re unenggi gūnin i yabu ci ,	nv::nv cm::gen verb::vv e::pst.ptcp cm::acc verb::vv e::cve nv::nv verb::vv e::npst.ptcp nv::adj nv::nv cm::gen verb::vv e::cve mark::comma
ulha tarhū ha manggi ,	nv::nv verb::vv e::pst.ptcp nv::nv mark::comma
wa rakū niyalma de sui isi kini seme gashū ha bi he kai ,	verb::vv e::npst.ptcp.neg nv::nv cm::dat nv::nv verb::vv e::fve.opt comp verb::vv e::pst.ptcp verb::vv e::pst.ptcp ptcl mark::comma
simiyan i tsang de jeku ali me gai ha hafasa ,	nn::prpn.plc cm::gen nv::nv cm::dat nv::nv verb::vv e::cve verb::vv e::pst.ptcp nv::nv mark::comma
birai_dergi gurun be daila cina .	nn::prpn nv::nv cm::acc verb::vv e::fve.opt mark::period
yoo_jeo de juwe minggan cooha gama ∅ ,	nn::prpn cm::dat nv::nv nv::nv nv::nv verb::vv e::fve.imperative mark::comma
juwe jergi buce re weile be guwebu mbi .	nv::nv nv::nv verb::vv e::npst.ptcp nv::nv cm::acc verb::vv e::fve.npst mark::period
cooha i dzung_bing_guwan fujiyang de afabu ha ,	nv::nv cm::gen nv::nv nv::nv cm::dat verb::vv e::pst.ptcp mark::comma
bayangga geren de donjibu me gisure fi ,	nn::prpn.person nv::adj cm::dat verb::vv e::cve verb::vv e::cve mark::comma
gūwa be enggelce me banji fi ,	nv::nv cm::acc verb::vv e::cve verb::vv e::cve mark::comma
ba ambula gai fi usin be niyalma turi fi weilebu me ,	nv::nv nv::nv verb::vv e::cve nv::nv cm::acc nv::nv verb::vv e::cve verb::vv e::cve mark::comma
suwe cala gene rakū ebele bi ci ,	pn::2pl nv::nv verb::vv e::npst.ptcp.neg nv::nv verb::vv e::cve mark::comma
○ santan be ,	mark::circle nn::prpn.person cm::acc mark::comma
enggelei ,	nn::prpn.person mark::comma
jeku inu elgiyen o ho ,	nv::nv nv::nv nv::adj verb::vv e::pst.ptcp mark::comma
dain dain de amban seme šangna me bu he jaka be gemu gai mbi seme beide he bi he ,	nv::nv nv::nv cm::dat nv::nv comp verb::vv e::cve verb::vv e::pst.ptcp nv::nv cm::acc nv::nv verb::vv e::fve.npst comp verb::vv e::pst.ptcp verb::vv e::pst.ptcp mark::comma
hoton i dorgi cooha i niyalma gabta ra ,	nv::nv cm::gen nv::nv nv::nv cm::gen nv::nv verb::vv e::npst.ptcp mark::comma
šajin fafun be akdun jafa fi etenggile me kadala cina ,	nv::nv nv::nv cm::acc nv::adj verb::vv e::cve verb::vv e::cve verb::vv e::fve.opt mark::comma
fu_jeo i juse hehesi be ,	nn::prpn cm::gen nv::nv nv::nv cm::acc mark::comma
ere juwe mafa yaksi hakūbi seme ala ra jaka de ,	nv::nv nv::nv nv::nv verb::vv e::fve.prs.prf.neg comp verb::vv e::npst.ptcp nv::nv cm::dat mark::comma
jeng_giyang ni šeo_pu i juse de ama i hergen bu he be suwe sa ha kai ,	nn::prpn cm::gen nv::nv cm::gen nv::nv cm::dat nv::nv cm::gen nv::nv verb::vv e::pst.ptcp cm::acc pn::2pl verb::vv e::pst.ptcp ptcl mark::comma
tanggū šusiha šusihala ha .	nv::nv nv::nv verb::vv e::pst.ptcp mark::period
ulgiyan coko aika jaka be gemu yooni guri re ba de isibu kini ,	nv::nv nv::nv nv::nv nv::nv cm::acc nv::nv nv::nv verb::vv e::npst.ptcp nv::nv cm::dat verb::vv e::fve.opt mark::comma
wang_dzung_kui be wesibu fi beiguwan obu ha .	nn::prpn cm::acc verb::vv e::cve nv::nv verb::vv e::pst.ptcp mark::period
wehe ambula isabu ∅ ,	nv::nv nv::nv verb::vv e::fve.imperative mark::comma
boo i aha ,	nv::nv cm::gen nv::nv mark::comma
ere bai me ji he gung de ,	nv::nv verb::vv e::cve verb::vv e::pst.ptcp nv::nv cm::dat mark::comma
nikan i hanja narhūn gemu efuje he .	nv::nv cm::gen nv::nv nv::adj nv::nv verb::vv e::pst.ptcp mark::period
tsanjiyang ,	nv::nv mark::comma
juwe ejen icingga i uda fi je ∅ ,	nv::nv nv::nv nv::adj cm::gen verb::vv e::cve verb::vv e::fve.imperative mark::comma
juwan emu de munggatu dooli de wasimbu ha ,	nv::nv nv::nv cm::dat nn::prpn.person nv::nv cm::dat verb::vv e::pst.ptcp mark::comma
giya_jing ni dehi sunjaci aniya nadan biya i orin emu de baha ha ,	nn::prpn cm::gen nv::nv nv::nv nv::nv nv::nv nv::nv cm::gen nv::nv nv::nv cm::dat verb::vv e::pst.ptcp mark::comma
ice ilan de liyoodung de isinji ∅ .	nv::adj nv::nv cm::dat nn::prpn.plc cm::dat verb::vv e::fve.imperative mark::period
han i fujisa ,	nv::nv cm::gen nv::nv mark::comma
iole he hoošan i boro dobton tofohon ,	verb::vv e::pst.ptcp nv::nv cm::gen nv::nv nv::nv nv::nv mark::comma
geren cooha i niyalma be gai fi dusy yamun de hengkile he .	nv::adj nv::nv cm::gen nv::nv cm::acc verb::vv e::cve nv::nv nv::nv cm::dat verb::vv e::pst.ptcp mark::period
akdun akū niyalma be gaji me ji ∅ ,	nv::adj nv::adj nv::nv cm::acc verb::vv e::cve verb::vv e::fve.imperative mark::comma
ušitai juwe tanggū cooha be looli de gai fi te mbi ,	nn::prpn.person nv::nv nv::nv nv::nv cm::acc nn::prpn.plc cm::dat verb::vv e::cve verb::vv e::fve.npst mark::comma
sanca bai re niyalma be ,	nv::nv verb::vv e::npst.ptcp nv::nv cm::acc mark::comma
orin emu ihan ,	nv::nv nv::nv nv::nv mark::comma
amba_beile gai fi okdo me gene re de ,	nn::prpn verb::vv e::cve verb::vv e::cve verb::vv e::npst.ptcp cm::dat mark::comma
hehe duin ji he ,	nv::nv nv::nv verb::vv e::pst.ptcp mark::comma
weile he jeku i dabala ,	verb::vv e::pst.ptcp nv::nv cm::gen ptcl mark::comma
nio_juwang de emte gene ∅ ,	nn::prpn cm::dat nv::nv verb::vv e::fve.imperative mark::comma
emu feye sacibu ha seme juwan nadan yan i weile waliya mbi ,	nv::nv nv::nv verb::vv e::pst.ptcp comp nv::nv nv::nv nv::nv cm::gen nv::nv verb::vv e::fve.npst mark::comma
yargiyan cooha jura ka mejige ji ci ,	nv::adj nv::nv verb::vv e::pst.ptcp nv::nv verb::vv e::cve mark::comma
muse dain waka kai ,	pn::1pl.incl nv::nv nv::adj ptcl mark::comma
da ci dele benji re an i jaka be ,	nv::nv cm::abl nv::nv verb::vv e::npst.ptcp nv::nv cm::gen nv::nv cm::acc mark::comma
han i jase tuci ke niyalma be sa fi wa rakū ci ,	nv::nv cm::gen nv::nv verb::vv e::pst.ptcp nv::nv cm::acc verb::vv e::cve verb::vv e::npst.ptcp.neg e::cve mark::comma
šanapu i beiguwan jang_u_lin habša ra ngge ,	nn::prpn.plc cm::gen nv::nv nn::prpn verb::vv e::npst.ptcp nmlz::nmlz mark::comma
